year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
143,17/07/2019 23:00,31.12447929,32.9887085,32.75687408,34.21334076,34.78349686,34.80236053,35.63375092,35.43467331,41.44184875,36.81
144,17/07/2019 23:30,29.58772659,31.83008385,31.80034637,32.81352997,33.76077271,33.59329605,34.06236267,33.47048187,39.08972549,36.105
145,18/07/2019 00:00,27.06844139,28.37553596,30.97423744,31.43846321,31.47823143,33.80952072,35.33747482,34.54158401,39.14626312,35.4
146,18/07/2019 00:30,25.87459183,28.06241608,30.17741394,30.80967331,32.06103134,33.78448868,33.82037354,33.26123047,37.37187195,35.215
147,18/07/2019 01:00,24.30413628,27.42015266,29.35775375,30.29057693,32.0761795,33.51293182,32.66255569,32.55725861,35.80427933,35.03
148,18/07/2019 01:30,23.21174622,26.77664185,28.68495369,29.94878197,32.11962509,32.99189377,31.96741104,32.0840416,34.71160507,35.02
149,18/07/2019 02:00,22.87474442,26.41404152,28.33846664,29.88286209,32.17368698,32.55936813,31.7699852,32.23590851,34.47994232,35.01
150,18/07/2019 02:30,23.40592384,26.66843796,28.49971008,30.12804031,32.34942245,32.46238327,31.97648239,32.94456482,35.07648087,34.755
151,18/07/2019 03:00,24.78609467,27.81764221,29.4775219,30.81209755,32.7961235,32.92418671,32.69305038,34.17144012,36.25363922,34.5
152,18/07/2019 03:30,26.84297371,29.919384,31.5624218,32.14941788,33.69460297,34.27758026,34.11433792,35.82322693,37.75467682,35.31
153,18/07/2019 04:00,29.23802757,32.70106125,34.39070511,34.27283859,35.19076538,36.54899597,36.32096863,37.76906967,39.47765732,36.12
154,18/07/2019 04:30,31.59056854,35.56060028,36.93521881,36.80125046,37.17054749,38.9169693,39.03506088,39.96123123,41.46357346,41.11
155,18/07/2019 05:00,33.66081238,38.11959076,38.86935043,39.06982803,39.39765549,40.82944107,41.5808754,42.40878677,43.80578232,46.1
156,18/07/2019 05:30,35.38169479,40.51683044,40.63468933,41.08861542,41.83620834,42.5516777,43.7405014,45.09233856,46.53283691,45.865
157,18/07/2019 06:00,36.78090668,42.81088257,42.92804718,43.19930267,44.48930359,44.80071259,46.00144958,48.04760361,49.76000595,45.63
158,18/07/2019 06:30,37.91977692,44.74628448,46.11259079,45.48497391,47.24739075,48.52026749,49.12193298,51.21506882,54.02040863,49.265
159,18/07/2019 07:00,38.86651993,45.93553162,48.7598877,47.59646988,49.74940109,52.67844009,52.60695267,54.14444351,59.53881073,52.9
160,18/07/2019 07:30,39.6572876,46.05733109,49.3588295,48.51169205,51.16616058,54.05582047,54.18306351,55.71935272,62.92230988,50.95
161,18/07/2019 08:00,40.17105103,44.99848175,48.04394531,47.6017189,50.73645401,52.41072845,53.535923,54.59089279,62.60560226,49
162,18/07/2019 08:30,40.03730011,43.1381073,45.852108,45.53729248,48.66004944,49.8545723,51.32496643,52.83248138,61.3782692,44.765
163,18/07/2019 09:00,39.21540833,41.14264297,43.63080597,43.27206421,45.96204758,47.74043655,48.37044907,51.70384598,59.91267395,40.53
164,18/07/2019 09:30,38.20484924,39.55311203,41.6300354,41.20266342,43.58316803,45.92781448,45.76616287,50.81082153,58.23672485,39.095
165,18/07/2019 10:00,37.26483917,38.4945488,39.91339874,39.36896133,41.77303696,44.09938049,43.86854553,49.88772202,56.36118317,37.66
166,18/07/2019 10:30,36.40476608,37.7610817,38.49883652,37.77483368,40.34665298,42.16069794,42.42819977,48.78586578,54.29421997,37.12
167,18/07/2019 11:00,35.61184311,37.16106415,37.3361969,36.42752838,39.13272095,40.26010513,41.19506836,47.40146637,52.06900406,36.58
168,18/07/2019 11:30,34.90328979,36.61544037,36.34777832,35.3236618,38.07113266,38.6194458,40.05994797,45.66654205,49.79692078,36.385
169,18/07/2019 12:00,34.31595993,36.12203598,35.47828674,34.45505142,37.17015457,37.31632614,39.01445007,43.59849167,47.6221199,36.19
